"Appendix C: Table C-5. Annual Values, Selected Minor Export Classes (Millions of Dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
YEAR,001,005,008,009,011,012,014,015,025,028,042,044,052
1879,10.1,217.5,16.6,53.8,25.6,17.8,37.7,8.2,14.2,5.8,186.5,11.0,10.6
1880,18.3,236.8,18.6,67.7,37.1,23.2,43.7,9.8,18.1,7.1,239.3,11.3,12.0
1881,12.0,185.7,17.5,64.0,37.0,20.1,43.1,6.8,18.4,6.8,222.1,13.6,14.2
1882,6.1,138.4,13.7,44.9,31.5,13.3,48.6,6.4,18.9,7.2,224.6,13.2,18.4
1883,18.2,122.3,19.3,51.1,33.6,16.1,56.5,7.9,20.0,6.9,224.7,12.3,17.7
1884,14.7,100.0,18.0,40.8,24.3,15.2,53.2,8.7,20.0,8.0,221.6,10.8,16.2
1885,14.3,83.1,18.8,40.3,26.3,11.3,49.6,9.1,26.6,8.0,184.4,12.7,15.1
1886,11.5,104.4,14.0,38.5,26.2,10.0,47.3,9.6,28.3,7.8,215.4,14.9,13.4
1887,9.4,103.4,12.6,39.5,26.4,11.2,57.9,8.3,20.9,9.2,216.0,13.7,14.7
1888,13.5,64.0,16.2,35.5,26.0,9.4,52.7,8.2,18.7,8.5,225.1,10.7,17.1
1889,27.0,76.4,22.9,47.9,34.6,12.7,53.3,10.4,22.0,11.0,266.6,10.4,20.5
1890,34.6,85.6,28.6,51.9,44.9,11.6,56.0,13.2,21.2,11.0,254.3,11.1,19.3
1891,29.5,164.4,28.5,49.7,38.7,9.8,68.2,11.9,20.4,12.0,277.0,13.9,16.4
1892,36.1,161.9,31.1,56.5,46.5,10.1,86.3,15.3,21.7,9.9,217.1,12.7,18.7
1893,23.3,112.5,24.5,51.5,47.3,8.4,74.9,14.5,23.8,12.1,204.1,13.0,17.6
1894,40.8,63.3,26.4,54.2,50.6,8.6,62.3,13.0,25.8,13.1,200.4,14.5,19.4
1895,30.5,70.9,25.7,54.5,45.2,5.8,54.4,14.3,24.7,16.2,189.9,14.0,19.9
