"Appendix B: Table B-1. Annual Fisher Price Indexes, Selected Intermediate Export Classes (1913=100)",,,,,,,,,,,
YEAR,104,106,107,108,113,114,120,121,122,125,128
1879,93.0,56.4,58.0,62.4,74.0,82.5,83.6,107.0,61.4,79.5,65.3
1880,95.6,62.0,67.1,72.2,83.3,92.0,93.8,122.8,66.5,88.5,72.3
1881,102.2,73.5,79.4,85.2,94.0,86.7,90.4,115.8,69.4,86.0,76.0
1882,108.5,86.0,89.8,95.7,103.1,83.0,90.5,121.4,71.2,87.3,76.4
1883,103.5,81.9,82.8,89.3,95.7,85.3,84.2,114.0,72.0,80.9,74.3
1884,91.0,79.3,77.8,84.3,88.3,88.4,85.2,106.3,68.0,82.6,70.1
1885,85.0,66.9,66.2,72.2,77.0,87.6,82.7,95.7,65.1,79.8,68.9
1886,80.0,61.7,61.3,67.4,72.2,81.7,76.7,94.2,64.8,74.0,67.1
1887,81.3,64.6,65.3,67.2,75.5,81.0,77.1,97.0,68.9,73.7,69.1
1888,85.7,69.3,70.6,72.6,80.4,72.6,80.0,109.9,70.7,76.6,68.6
1889,75.1,62.1,63.4,65.4,75.8,68.8,80.4,108.1,69.6,76.4,68.1
1890,76.4,59.4,60.3,62.1,72.6,69.1,81.0,104.0,68.7,77.1,68.1
1891,99.7,61.4,62.4,64.1,75.8,70.4,74.8,95.4,68.0,72.2,67.2
1892,86.3,64.0,65.5,67.3,76.7,71.6,67.6,90.7,65.0,66.2,64.3
1893,77.4,77.2,80.0,81.7,85.1,67.7,67.1,93.1,64.1,65.2,63.1
1894,67.4,67.6,69.1,70.7,73.5,64.4,53.5,84.9,63.4,52.8,62.1
1895,69.1,65.7,64.8,66.3,68.5,79.3,55.6,78.9,58.5,54.4,63.9
1896,63.3,58.6,55.8,57.4,62.5,73.5,61.9,81.2,59.0,59.0,62.6
1897,71.1,57.9,54.0,55.6,63.9,72.9,52.7,73.7,58.6,51.9,62.7
1898,76.5,60.7,57.5,59.1,67.0,77.4,45.2,70.0,58.8,46.2,62.8
1899,73.9,61.6,59.0,60.7,65.0,78.6,51.8,72.8,64.4,52.5,68.6
1900,73.8,66.6,64.7,66.5,70.1,79.8,72.4,85.7,70.4,71.0,72.6
1901,77.3,71.2,72.3,73.2,75.4,75.6,66.5,79.5,69.8,66.0,69.0
1902,81.9,80.1,83.5,84.2,83.3,79.7,66.6,80.6,75.1,67.4,75.2
1903,81.2,79.9,80.4,81.4,81.1,83.0,80.6,81.3,78.7,80.3,80.8
1904,80.1,75.0,72.1,73.2,77.1,82.9,84.9,88.3,77.4,83.8,82.1
1905,82.4,72.6,71.1,71.8,75.2,85.9,74.9,89.7,77.2,74.2,85.4
1906,81.5,76.6,75.9,76.7,80.2,89.6,84.1,95.0,91.5,83.3,95.6
1907,94.9,81.7,82.4,82.9,86.1,96.3,88.0,103.3,97.1,87.1,100.7
1908,99.7,79.6,81.4,82.3,87.4,88.7,79.0,90.6,92.1,78.7,91.7
1909,104.1,82.1,88.3,89.2,93.2,93.2,91.9,86.6,88.9,91.5,92.7
1910,98.5,99.8,104.0,104.5,107.2,92.3,112.4,95.7,90.8,110.8,98.8
1911,97.7,89.0,88.3,89.6,92.6,96.3,91.1,94.3,91.6,91.0,101.0
1912,104.0,91.3,93.5,94.4,96.5,99.4,87.7,92.8,94.7,88.0,100.2
1913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1914,114.3,102.3,99.8,100.4,102.9,102.5,84.1,101.1,93.7,86.1,99.0
1915,133.6,98.3,96.2,97.2,106.1,116.7,78.9,103.4,93.8,85.2,107.3
1916,144.0,109.9,109.8,110.4,118.4,136.0,119.1,129.7,98.2,119.8,125.6
1917,214.7,154.0,156.5,157.1,171.0,180.1,180.4,178.8,120.2,178.3,158.4
1918,234.3,199.8,201.1,201.7,214.9,182.7,252.2,247.0,166.3,242.5,188.6
1919,241.4,232.2,233.7,233.6,238.4,237.2,269.7,264.1,198.7,260.6,243.2
1920,267.9,188.4,191.5,193.2,217.4,259.7,296.4,323.6,265.5,294.0,276.9
1921,155.3,134.9,126.0,128.1,135.2,143.4,134.3,184.3,180.2,149.4,151.3
1922,127.0,127.8,117.0,118.4,120.1,128.7,171.6,182.5,158.4,176.5,146.2
1923,128.7,108.8,112.4,115.0,122.0,131.3,229.6,201.7,183.3,227.4,163.0
,,,,,,,,,,,
YEAR,133,136,139,140,141,142,143,144,145,146,147
1879,79.6,76.9,131.4,123.8,86.6,,121.6,90.3,94.4,121.6,125.6
1880,88.7,85.5,146.6,139.7,89.6,,133.8,107.1,103.0,133.8,139.6
1881,86.3,83.8,140.5,134.6,92.1,,121.4,104.9,106.1,121.4,131.0
1882,87.5,85.1,131.1,126.3,93.9,,127.5,106.2,107.5,127.5,127.6
1883,81.2,79.5,132.5,127.4,93.8,,124.9,102.6,106.9,124.9,127.2
1884,82.9,80.4,134.3,128.1,86.0,,128.4,97.5,103.1,128.4,129.6
1885,80.0,77.7,131.2,124.7,73.6,,118.0,89.2,97.4,118.0,123.6
1886,74.1,72.8,120.0,114.6,70.0,,112.7,83.8,93.1,112.7,115.2
1887,73.8,72.6,113.5,109.3,70.9,,110.8,84.4,93.2,110.8,110.5
1888,76.8,75.1,120.5,116.0,100.4,,112.5,102.0,104.7,112.5,115.0
1889,76.6,74.9,112.4,108.7,77.7,,111.4,91.8,92.8,111.4,109.2
